listed_company_id,record_date
1301,3月
1332,3月
1333,3月
1377,5月
1379,3月
1380,3月
1381,6月
1383,4月
1384,3月
1417,3月
1418,2月
1419,5月
1419,11月
1420,3月
1430,11月
1431,3月
1431,6月
1431,9月
1431,12月
1433,1月
1446,9月
1448,3月
1515,3月
1518,3月
1605,12月
1718,6月
1718,12月
1726,3月
1726,9月
1743,9月
1762,3月
1766,4月
1768,9月
1780,3月
1783,3月
1783,9月
1788,6月
1789,9月
1795,3月
1795,9月
1801,3月
1803,3月
1808,3月
1808,9月
1828,3月
1828,9月
1848,9月
1860,3月
1867,9月
1873,10月
1878,3月
1878,9月
1899,12月
1904,3月
1909,9月
1925,3月
1928,1月
1951,3月
1952,3月
1952,9月
1965,3月
1976,3月
1992,3月
2001,3月
2001,9月
2002,3月
2003,3月
2004,3月
2009,12月
2053,3月
2053,9月
2109,3月
2112,3月
2114,3月
2117,3月
2127,3月
2139,9月
2153,11月
2157,8月
2159,4月
2170,6月
2170,12月
2173,3月
2178,2月
2178,8月
2179,3月
2179,9月
2180,6月
2186,8月
2193,12月
2196,3月
2196,9月
2198,4月
2204,3月
2206,6月
2207,9月
2208,9月
2209,3月
2209,9月
2211,12月
2212,12月
2215,12月
2216,12月
2217,7月
2220,9月
2221,3月
2221,9月
2222,3月
2224,3月
2226,12月
2264,9月
2266,12月
2267,3月
2267,9月
2268,6月
2268,12月
2269,3月
2281,9月
2282,3月
2282,9月
2288,9月
2291,3月
2292,2月
2292,8月
2293,3月
2294,2月
2296,3月
2300,2月
2301,10月
2305,8月
2307,9月
2309,3月
2311,12月
2327,3月
2330,12月
2335,9月
2337,2月
2337,8月
2340,9月
2344,3月
2345,10月
2351,3月
2352,3月
2352,9月
2353,7月
2359,3月
2373,10月
2374,9月
2375,4月
2375,10月
2376,3月
2378,3月
2378,9月
2379,2月
2379,8月
2385,6月
2398,3月
2402,12月
2404,8月
2406,12月
2412,3月
2418,6月
2418,12月
2424,7月
2427,12月
2432,9月
2436,12月
2438,4月
2453,3月
2454,3月
2454,9月
2462,5月
2464,3月
2464,9月
2469,3月
2475,3月
2484,2月
2484,8月
2487,9月
2493,5月
2498,6月
2499,12月
2501,12月
2502,12月
2503,12月
2531,3月
2533,12月
2540,9月
2573,6月
2573,12月
2588,3月
2590,1月20日
2590,7月20日
2593,4月
25935,4月
2594,3月
2594,9月
2597,12月
2599,3月
2602,3月
2607,3月
2612,3月
2613,3月
2652,3月
2652,9月
2659,2月
2664,3月15日
2666,3月
2666,9月
2668,2月
2669,2月
2669,8月
2670,2月
2675,6月
2675,12月
2676,3月
2678,5月20日
2678,11月20日
2681,3月
2681,9月
2683,8月
2685,2月
2686,2月
2686,8月
2687,2月
2687,8月
2689,6月
2692,3月
2694,3月
2694,9月
2695,4月
2698,5月
2700,6月
2700,12月
2702,6月
2702,12月
2705,3月
2706,2月
2708,3月
2722,5月
2726,2月
2729,3月
2729,9月
2730,3月
2733,3月
2733,9月
2734,11月
2735,8月
2736,8月
2737,9月
2742,2月
2747,2月
2749,9月
2750,3月
2751,4月
2752,6月
2752,12月
2753,3月
2762,6月
2762,12月
2764,3月
2764,9月
2769,11月
2773,9月
2778,2月20日
2789,2月
2790,3月
2791,5月
2792,5月
2796,11月
2798,2月
2798,8月
2801,3月
2802,3月
2804,3月
2805,3月
2805,9月
2806,3月
2809,11月
2810,3月
2810,9月
2811,6月
2812,3月
2813,3月
2814,3月
2815,3月
2815,9月
2816,3月
2816,9月
2818,3月
2818,9月
2819,3月
2830,11月
2831,3月
2831,9月
2872,8月
2874,9月
2875,3月
2882,3月
2882,9月
2883,9月
2884,2月
2884,8月
2894,3月
2897,3月
2897,9月
2899,3月
2901,3月
2903,3月
2904,6月
2907,3月
2908,3月
2910,4月
2910,10月
2911,3月
2911,9月
2914,12月
2915,3月
2916,9月
2917,9月
2918,2月
2922,3月
2923,10月
2924,3月
2924,9月
2925,2月
2927,2月
2927,8月
2930,2月
2931,9月
2975,11月
3001,12月
3002,3月
3002,9月
3003,12月
3020,3月
3023,3月
3024,3月
3028,6月
